Orthogroups,HCH_1_F,HCH_2_F,HCH_3_F,HCH_4_F,HCH_5_F,HCH_6_F,HCH_1_M,HCH_2_M,HCH_3_M,HCH_4_M,HCH_5_M,HCH_6_M,HDO_1_F,HDO_2_F,HDO_3_F,HDO_4_F,HDO_5_F,HDO_6_F,HDO_1_M,HDO_2_M,HDO_3_M,HDO_4_M,HDO_5_M,HDO_6_M,HER_1_F,HER_2_F,HER_3_F,HER_1_M,HER_2_M,HER_3_M,HME_1_F,HME_2_F,HME_3_F,HME_4_F,HME_1_M,HME_2_M,HME_3_M,HME_4_M,HSA_1_F,HSA_2_F,HSA_3_F,HSA_4_F,HSA_5_F,HSA_1_M,HSA_2_M,HSA_3_M,HSA_4_M,HSA_5_M,HSA_6_M
Group_426_clean_1,45.118,47.806,34.102,41.786,30.973,41.432,35.903,23.813,22.945,54.577,40.106,31.602,82.199,67.225,63.304,71.581,64.691,60.894,81.295,76.579,68.016,64.333,75.585,64.205,172.762,188.106,197.353,181.928,224.975,224.953,36.683,28.926,44.86,30.426,24.706,35.074,19.876,39.044,168.17,190.793,169.182,208.9,323.714,237.806,349.114,295.113,460.501,111.036,229.274
Group_600_clean_0,1.923,1.588,1.941,2.533,1.978,1.879,1.911,1.823,5.028,2.258,1.234,1.849,2.483,3.047,2.762,3.506,2.619,2.608,2.98,3.19,3.467,3.526,3.049,3.035,1.113,1.615,1.339,0.89,1.378,1.003,13.529,15.034,9.995,15.373,4.481,7.874,7.274,7.4,3.932,4.81,4.473,4.715,2.388,2.767,4.225,3.554,3.901,4.143,3.329
Group_1071_clean_0,6.991,2.818,1.128,22.126,7.175,11.19,2.569,3.709,4.652,4.83,4.638,24.075,4.597,15.687,9.213,26.488,7.471,9.532,20.287,9.724,6.992,6.266,7.672,22.381,1.939,1.994,4.175,2.771,7.498,6.304,9.615,15.736,15.426,7.473,11.452,23.035,8.55,5.787,3.807,3.023,1.574,1.842,2.996,0.348,3.694,1.652,1.311,4.975,9.846
Group_256_clean_0,1.733,2.728,2.608,2.428,1.443,1.972,2.141,1.78,2.417,2.93,1.234,0.955,51.139,60.425,45.199,51.289,51.279,49.96,55.622,58.422,43.514,53.022,47.438,47.067,8.564,6.93,8.685,6.562,10.516,9.838,15.052,21.93,38.581,24.702,15.355,21.044,16.624,17.137,3.016,2.099,4.653,3.263,2.472,2.051,4.822,2.183,2.662,4.324,2.865
Group_235_clean_0,15.953,15.149,13.248,21.55,22.203,16.93,18.369,20.157,13.296,18.548,17.339,19.626,9.758,7.643,9.351,10.284,8.867,21.829,10.069,7.265,10.393,7.93,10.008,7.697,18.302,17.56,15.401,21.166,18.661,23.544,17.443,22.892,13.854,20.99,10.795,21.014,14.071,15.074,18.754,22.888,19.255,20.04,32.196,20.103,26.571,24.239,24.952,22.709,27.418
Group_235_clean_1,5.163,6.435,7.327,4.932,4.34,6.642,6.172,4.642,7.059,6.738,8.313,6.74,9.501,10.807,9.372,8.332,11.063,10.855,8.366,9.713,9.454,10.515,10.711,9.944,6.165,9.603,9.719,1.34,2.12,5.884,17.756,19.103,34.855,28.395,14.111,19.235,16.766,26.043,5.521,4.447,4.834,5.596,6.054,6.656,5.248,6.187,5.232,5.637,3.057
Group_235_clean_2,16.464,19.761,19.641,11.926,11.989,19.869,20.907,17.73,20.863,14.749,16.606,9.004,22.04,20.272,20.654,14.282,15.405,16.001,24.455,16.206,20.833,11.094,17.846,25.15,7.615,11.069,10.468,2.411,2.767,8.1,15.779,23.604,19.183,19.591,11.093,16.476,13.545,18.789,10.656,11.948,9.868,11.592,8.589,14.23,15.687,9.351,12.93,8.221,9.18
Group_235_clean_3,5.852,6.829,4.489,4.155,4.905,5.972,7.519,4.377,3.85,2.724,2.295,3.396,16.099,25.994,21.197,22.409,25.062,24.387,12.762,20.717,16.887,20.152,16.37,17.788,8.585,9.942,11.453,0.6,2.141,4.9,10.25,6.364,11.302,13.109,13.742,6.984,7.405,9.404,46.397,44.903,52.269,46.256,50.871,43.92,57.319,54.956,55.331,39.354,64.582
Group_2544_clean_0,472.25,578.045,568.667,662.709,662.654,382.913,454.801,508.872,586.009,599.978,601.489,617.974,798.961,741.774,864.754,750.103,719.706,770.911,791.69,769.274,751.067,787.466,791.878,792.24,78.465,97.892,77.913,100.867,152.608,160.185,645.971,479.158,744.961,744.917,598.768,531.017,713.825,726.954,594.026,768.906,647.614,614.837,554.368,658.528,565.128,643.339,466.486,646.305,632.41
Group_2544_clean_1,0.0001,0.0001,0.0001,0.0001,0.0001,0.865,0.0001,0.0001,2.062,0.824,1.456,0.849,798.961,741.774,864.754,750.103,719.706,770.911,791.69,769.274,751.067,787.466,791.878,792.24,78.465,97.892,77.913,100.867,152.608,160.185,645.971,479.158,744.961,744.917,598.768,531.017,713.825,726.954,594.026,768.906,647.614,614.837,554.368,658.528,565.128,643.339,466.486,646.305,632.41
Group_2494_clean_0,6.529,8.427,8.201,8.463,7.731,8.623,7.717,8.743,7.293,7.858,7.531,7.969,15.135,15.079,11.601,10.54,9.06,12.11,8.416,12.507,13.141,12.614,13.389,12.595,24.906,21.329,24.028,8.632,15.351,17.297,24.132,24.656,27.3,27.637,21.33,25.259,25.438,24.019,9.364,10.306,12.927,10.21,8.997,10.38,9.349,8.65,11.805,12.342,9.785
Group_81_clean_0,285.249,335.281,322.057,400.193,457.271,307.361,341.339,368.039,350.641,342.935,385.239,371.474,242.861,212.089,213.243,255.677,237.707,196.392,267.378,220.826,221.308,193.516,232.598,217.499,374.137,388.437,287.27,541.052,684.155,526.47,301.068,309.443,364.058,247.8,334.86,311.832,388.743,340.988,224.505,263.769,251.927,279.21,243.296,265.387,227.817,242.35,241.333,247.013,338.554
Group_256_clean_2,76.574,103.133,117.919,109.199,84.319,117.923,98.31,90.176,95.202,106.528,81.447,79.204,54.926,51.313,44.922,60.878,73.221,50.839,65.404,77.666,78.274,77.34,90.312,77.854,15.536,25.428,25.613,20.465,26.159,23.735,22.155,22.782,20.613,19.785,15.475,13.13,16.726,21.712,11.393,11.906,11.874,15.556,10.966,12.596,10.799,12.365,9.287,8.477,15.969
Group_1040_clean_0,28.144,23.961,25.319,23.412,22.031,28.241,26.222,24.629,25.87,25.098,25.265,25.517,10.948,10.504,17.657,8.751,11.534,12.199,8.425,10.607,10.239,14.91,10.418,11.038,6.073,8.735,10.32,1.53,1.775,8.214,9.231,10.875,11.7,12.623,9.181,8.622,9.624,11.936,25.488,23.127,22.263,16.727,14.737,23.798,24.023,25.881,26.045,29.222,14.436
Group_2086_clean_0,58.46,37.827,38.712,35.789,21.869,57.562,55.546,59.856,55.732,51.969,42.614,49.477,41.115,33.451,39.42,34.963,30.338,33.475,32.9,20.097,43.304,30.936,55.677,51.423,1,0.0001,3.22,0.0001,0.198,0.0001,7.163,25.217,9.536,27.268,6.483,17.86,23.27,17.753,32.634,35.594,38.449,47.498,62.843,55.606,66.365,44.513,46.704,37.122,39.282
Group_2574_clean_0,4.76,5.663,3.336,2.763,3.986,8.167,6.026,4.695,3.433,4.399,3.366,2.485,8.67,6.457,6.654,8.362,8.906,10.114,9.524,5.934,9.77,7.145,11.171,8.692,1.899,2.702,6.017,1.16,1.953,4.632,5.791,4.711,8.116,5.559,3.953,10.502,4.67,2.698,5.09,5.964,5.345,3.774,8.924,6.211,8.345,5.186,4.933,4.249,3.904
Group_579_clean_0,5.508,2.782,4.998,3.329,2.896,5.032,5.744,5.808,3.829,6.147,3.693,2.892,2.791,2.077,3.22,2.31,2.282,2.874,2.485,2.063,2.404,2.068,3.108,2.73,12.902,10.52,14.289,4.121,7.519,9.59,2.361,3.287,3.257,3.858,1.225,3.942,2.259,2.268,1.921,2.275,2.638,1.802,2.482,2.428,2.974,2.954,2.786,3.438,2.108
Group_281_clean_0,18.434,16.217,12.386,19.9,31.659,19.088,14.871,13.374,18.181,14.749,25.323,28.648,42.1,45.512,46.105,69.343,43.48,39.707,55.602,47.022,51.857,36.447,50.165,43.559,71.34,65.544,53.314,31.918,39.306,34.041,55.538,31.712,44.339,51.348,51.822,38.419,47.492,40.98,41.001,71.199,35.13,31.291,16.088,31.682,30.436,27.433,23.786,40.827,32.493
Group_914_clean_0,14.458,17.15,15.443,18.547,26.32,16.083,14.557,17.338,14.646,13.387,16.712,18.317,24.051,23.094,17.743,26.927,23.579,18.974,26.207,26.234,22.49,18.508,24.608,20.538,31.776,21.688,24.609,46.232,42.178,21.978,23.376,17.109,22.961,17.249,23.869,19.457,21.588,22.171,16.214,18.015,19.526,21.411,23.158,15.178,17.363,21.275,21.598,12.929,32.815
Group_1051_clean_0,12.76,15.104,11.901,11.869,12.413,13.339,14.578,11.954,11.934,14.847,13.144,14.779,13.442,12.973,10.887,15.846,14.423,10.44,11.594,14.204,12.864,14.227,12.441,11.52,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,151.301,152.867,146.638,159.224,152.757,142.165,174.541,186.081,13.188,13.07,12.967,14.585,11.699,11.957,31.383,16.299,12.981,14.146,9.977
Group_2135_clean_0,36.572,38.59,39.779,34.484,48.301,34.985,38.159,39.466,38.089,39.506,34.533,36.042,37.626,27.758,29.653,33.46,29.905,26.728,29.068,36.486,28.668,31.763,29.612,27.18,39.054,38.541,31.443,51.003,46.992,50.46,36.249,24.977,20.378,20.145,36.118,28.322,39.327,21.477,33.217,39.002,45.319,37.047,26.279,34.565,27.272,35.222,27.8,35.948,48.189
Group_452_clean_0,24.429,19.959,19.52,18.163,16.45,25.292,23.027,21.174,24.123,20.904,19.171,18.459,30.597,33.735,21.357,50.9,65.952,58.642,51.87,33.397,87.537,24.515,57.983,82.318,56.621,51.873,56.219,36.8,40.277,47.547,15.728,18.322,17.856,25.47,14.529,14.757,15.378,19.444,38.128,42.046,43.534,48.739,47.404,44.007,42.902,40.719,45.59,49.678,40.754
Group_1083_clean_1,24.167,15.472,22.468,31.337,32.769,24.641,23.142,23.866,24.753,23.216,23.915,22.395,25.447,21.428,24.396,45.206,21.548,22.303,42.316,23.613,35.536,19.542,31.948,32.403,8.074,19.365,16.721,10.313,5.618,11.318,125.786,114.971,141.288,151.003,86.605,77.607,66.416,69.936,54.952,50.41,56.2,56.977,68.132,40.582,44.559,55.967,61.822,44.414,90.608
Group_1083_clean_0,5.152,6.623,7.898,5.69,6.893,5.33,4.344,6.178,7.09,6.362,5.15,5.599,6.413,4.527,3.625,4.13,4.997,3.348,4.03,6.117,3.889,3.733,3.645,3.843,7.554,10.939,10.064,9.733,7.748,11.108,6.265,7.708,7.381,6.511,6.513,3.831,3.758,9.756,6.841,5.631,5.917,6.607,5.436,7.623,6.83,7.339,6.511,8.285,5.659
Group_480_clean_0,5.804,9.073,2.669,9.518,11.868,12.074,5.441,3.095,5.678,4.292,9.556,15.213,5.992,2.802,27.062,5.807,4.227,5.225,6.604,4.501,4.195,27.752,3.499,2.385,21.262,29.436,26.765,26.097,28.874,21.911,54.025,56.318,58.377,50.133,55.934,50.771,62.972,47.667,1.589,0.727,0.772,3.804,1.131,4.082,1.317,2.293,1.971,8.029,7.233
Group_131_clean_2,0.32,1.391,0.0001,1.535,0.333,0.335,0.157,0.254,0.406,0.242,3.105,4.095,15.483,12.179,17.732,18.831,17.831,26.965,20.009,9.195,18.802,11.694,22.282,16.231,5.175,2.014,4.618,1.08,3.655,1.796,0.958,4.109,0.337,0.476,0.0001,1.122,0.78,0.0001,4.103,8.873,5.064,2.212,1.194,0.919,0.379,1.572,0.929,3.16,9.17
Group_1572_clean_0,377.741,323.506,324.92,538.801,712.196,199.875,377.283,322.818,411.156,157.046,1248.524,1556.61,92.644,79.374,71.611,88.112,79.258,77.123,88.077,80.917,76.55,71.747,70.444,63.417,78.363,74.169,82.561,51.954,48.025,102.591,44.875,70.44,39.847,47.772,35.182,66.306,17.597,66.504,20.236,25.818,26.576,33.373,42.346,27.658,34.547,39.037,41.7,20.467,29.113
Group_89_clean_0,68.158,130.173,55.162,92.562,132.69,71.626,110.225,106.37,120.777,96.493,105.642,100.838,118.049,102.821,94.226,164.1,103.53,96.68,179.906,103.941,111.76,109.424,117.999,94.302,87.019,106.907,102.62,89.914,97.92,118.417,120.419,101.25,90.027,100.879,121.668,82.226,100.79,95.118,21.906,4.914,31.249,36.236,28.583,17.336,10.751,24.499,19.544,18.214,12.6
Group_1400_clean_0,125.336,132.003,113.212,132.745,98.599,118.667,121.65,114.848,127.989,70.84,122.518,92.63,82.065,82.314,75.204,143.817,92.333,92.62,85.809,80.501,82.728,76.493,85.25,86.191,190.125,198.656,194.241,242.254,263.174,233.301,119.521,120.243,143.81,146.251,90.837,104.746,128.284,145.101,10.495,19.428,22.685,9.49,7.929,12.034,3.723,11.444,8.09,24.951,5.77
Group_1956_clean_1,20.796,19.044,21.436,20.744,21.95,30.269,23.57,20.994,24.357,20.492,23.076,20.909,25.939,24.917,35.699,25.65,25.177,27.113,26.465,27.372,25.708,35.051,29.251,27.022,20.344,26.724,24.5,9.623,10.766,24.757,27.956,21.769,22.297,32.127,33.598,20.013,12.116,31.126,21.295,21.932,21.09,22.192,20.015,18.235,20.878,21.696,21.195,25.496,19.913
Group_1044_clean_0,26.506,34.883,27.975,26.319,33.152,32.381,33.344,37.442,31.253,25.68,27.03,29.435,95.322,88.888,84.118,98.836,81.887,74.871,98.522,99.094,97.182,85.405,88.475,87.571,55.6,48.153,45.604,46.352,51.315,49.18,30.539,27.412,21.603,20.193,21.44,31.587,25.337,23.824,17.399,18.254,21.672,17.227,19.974,20.664,20.527,20.675,18.667,13.26,21.467
Group_2074_clean_1,2.695,8.705,6.223,7.628,7.751,3.953,2.82,3.54,6.978,2.912,11.697,9.198,2.801,6.075,14.608,1.574,1.781,2.124,1.96,7.021,2.232,9.771,3.851,3.025,10.657,6.003,11.581,24.606,9.054,4.728,1.655,0.0001,6.544,7.395,8.594,0.0001,20.687,15.671,26.269,19.179,22.905,12.763,14.024,18.168,6.678,16.019,9.029,21.236,6.012
Group_79_clean_3,9.828,3.599,6.405,8.491,9.527,10.046,12.709,15.526,4.896,5.466,11.659,5.899,9.399,8.681,8.296,6.185,5.526,7.359,6.247,5.964,5,9.812,7.623,9.52,10.034,9.732,9.138,14.844,22.295,9.618,0.696,6.735,7.892,0.816,1.434,6.823,6.788,0.391,3.07,2.421,4.844,6.797,4.19,2.418,2.283,1.282,1.579,1.826,5.326
Group_238_clean_0,15.538,14.296,13.733,10.094,15.633,11.376,11.258,14.985,12.574,10.6,9.277,15.797,2.021,1.029,1.461,1.247,1.3,0.82,0.515,0.671,0.929,0.0001,1.955,0.828,22.957,23.284,21.753,29.628,33.907,21.691,100.554,106.893,92.222,65.332,106.462,104.827,81.572,49.397,9.911,12.021,12.185,11.482,11.898,14.143,15.024,13.967,13.982,12.791,17.775
Group_79_clean_1,53.783,68.654,66.954,62.511,80.484,67.366,81.612,64.413,74.867,131.017,85.893,89.817,3.335,1.822,5.161,4.253,4.15,3.289,5.594,3.556,5.872,4.239,4.3,4.366,35.634,16.623,18.976,13.163,16.301,20.583,22.942,20.116,8.504,24.158,11.133,33.234,9.29,18.202,3.941,4.052,12.054,8.969,15.627,8.252,11.917,9.221,15.819,10.73,12.428
Group_79_clean_0,8.903,7.036,7.57,7.638,6.752,8.139,12.438,9.538,6.409,6.272,7.821,5.944,4.976,1.764,6.6,5.265,3.822,2.538,5.228,5.629,5.086,7.713,4.828,2.592,15.822,10.381,8.922,9.893,9.001,13.085,18.008,11.596,21.45,19.367,8.106,24.026,19.876,9.101,13.709,31.366,5.496,7.898,11.06,10.612,13.915,11.644,13.085,6.94,3.985
Group_1535_clean_0,17.473,10.276,14.327,16.993,15.38,16.102,17.158,14.985,18.496,15.304,13.848,14.081,49.333,48.06,58.591,40.166,52.309,53.694,45.989,52.489,49.099,56.837,44.409,45.993,49.466,65.753,99.203,87.523,38.105,75.656,24.092,20.507,22.838,19.737,17.357,24.339,16.179,20.617,23.252,33.257,26.887,25.035,26.656,25.81,19.798,25.801,23.62,28.955,29.204
Group_1986_clean_1,16.939,10.931,23.669,22.5,19.952,10.828,16.886,22.319,18.587,24.237,11.909,19.104,0.328,0.333,0.384,0.204,0.607,0.365,1.891,0.335,0.517,0.31,0.538,0.463,0.0001,0.359,0.128,0.76,0.24,0.573,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.508,0.359,0.374,2.377,1.732,2.231,0.638,3.96,0.671,0.268,0.769,1.412
Group_9_clean_1,1.638,0.188,0.473,1.535,0.575,0.967,0.804,0.668,0.691,0.968,0.492,1.132,105.439,94.522,85.046,111.666,87.086,74.95,103.027,102.772,83.897,71.55,81.917,78.652,136.74,186.84,120.169,235.702,290.377,146.011,92.171,107.073,63.758,83.805,103.325,112.023,83.801,78.607,92.775,118.596,98.521,115.145,150.571,113.921,109.561,151.301,170.792,78.665,183.153
Group_9_clean_0,39.587,54.124,55.478,48.224,52.963,52.213,78.124,86.944,56.412,44.586,39.046,58.587,46.932,39.437,54.465,40.555,37.424,31.963,39.989,46.85,36.264,47.676,41.858,34.877,127.053,81.608,71.621,143.638,176.041,93.393,36.229,37.325,38.347,33.332,39.882,28.2,58.504,44.255,37.455,55.584,52.7,53.544,51.405,38.27,41.727,56.758,56.456,72.814,52.022
Group_1440_clean_0,0.938,0.422,0.546,1.257,0.0001,0.447,0.919,1.017,1.188,0.95,0.0001,0.327,15.391,25.171,9.309,21.622,28.942,28.546,24.762,21.53,13.161,19.397,15.305,23.287,7.748,9.294,11.088,6.862,11.925,10.688,32.788,34.669,31.271,41.737,32.523,37.59,46.621,36.923,14.005,5.454,14.662,19.54,14.527,18.003,18.69,14.948,14.932,13.869,12.438
Group_1440_clean_1,24.832,16.199,17.348,15.803,11.707,16.093,18.108,27.003,11.335,16.971,12.363,8.694,17.105,15.814,16.495,18.872,18.033,19.172,17.188,16.551,18.314,14.196,17.885,17.64,22.906,25.966,33.511,16.584,22.243,25.015,13.579,13.42,18.275,25.421,13.752,18.527,14.223,16.775,1.84,1.06,1.825,2.553,0.388,1.944,2.236,0.41,0.382,2.061,2.3
Group_1493_clean_0,11.182,6.569,10.846,8.175,9.587,11.079,8.824,10.375,7.841,13.584,9.161,10.074,23.138,21.242,24.769,24.085,18.755,21.148,17.94,24.273,19.53,22.468,20.865,20.567,86.366,112.481,54.161,73.019,48.224,93.202,326.421,346.828,385.14,325.95,410.471,309.366,444.472,375.262,10.98,5.486,8.705,8.919,7.709,7.894,9.511,10.513,8.905,6.438,7.515
Group_1656_clean_1,23.218,18.801,17.19,16.772,11.677,19.246,18.494,19.479,20.863,17.078,19.672,10.499,37.092,27.915,26.305,35.832,29.423,29.849,35.266,30.573,31.197,27.348,36.864,37.557,21.456,26.325,33.905,8.932,9.043,18.711,43.866,40.171,35.335,50.94,48.356,40.461,41.657,49.573,48.874,53.028,54.896,54.515,54.129,57.502,55.159,59.731,51.461,58.465,59.346
Group_1656_clean_0,6.101,10.545,10.53,5.632,6.893,6.623,5.942,5.447,11.609,12.231,6.596,5.015,14.519,11.405,14.693,12.032,11.111,11.566,11.237,11.583,14.3,14.424,14.161,15.127,9.136,10.381,11.935,9.482,8.051,9.924,9.342,8.159,13.364,13.517,11.442,9.42,11.377,12.102,7.451,9.049,8.464,7.658,8.578,8.948,7.493,8.05,6.718,7.474,8.01
Group_804_clean_0,27.396,21.305,21.012,22.116,22.172,24.158,21.606,21.301,26.327,23.207,22.71,24.42,23.22,27.307,25.505,20.518,29.558,29.632,29.623,32.757,28.927,28.403,25.156,22.223,25.713,30.892,20.985,13.724,15.612,19.943,20.49,16.307,26.228,36.947,27.215,17.405,24.567,26.942,0.215,0.0001,0.0001,0.0001,0.0001,0.0001,0.256,0.33,0.0001,0.331,0.0001
Group_804_clean_1,10.493,11.595,9.353,10.919,10.254,9.423,11.487,11.138,11.122,11.138,10.781,10.092,29.335,25.847,28.821,28.379,27.507,26.738,25.415,25.035,29.338,31.081,30.267,26.874,16.751,11.777,8.764,16.934,16.531,17.231,29.298,27.092,27.861,24.829,28.211,27.887,31.537,26.267,9.166,10.514,8.915,9.57,8.065,9.703,8.469,9.211,9.442,10.986,9.846
Group_1982_clean_1,21.437,22.158,22.553,17.021,27.198,15.088,21.586,18.08,20.08,10.851,17.03,12.621,56.075,51.714,55.83,78.155,51.279,43.253,78.928,52.611,55.325,56.94,55.863,50.842,32.848,27.402,15.273,42.621,43.974,34.299,34.342,28.074,20.48,38.773,30.98,25.866,27.262,30.882,11.321,12.218,12.756,11.411,11.28,14.066,12.021,17.301,16.232,8.306,26.581
Group_1945_clean_0,20.642,25.765,27.029,21.838,27.349,24.018,46.471,27.787,22.874,24.587,22.43,25.11,1.047,1.137,1.429,0.593,1.232,0.514,1.376,0.63,1.054,0.6,0.87,1.054,33.736,21.549,28.971,31.398,24.853,28.167,47.79,33.526,64.973,58.287,37.612,54.703,37.899,58.537,17.264,23.844,15.835,13.383,20.822,18.042,12.57,14.958,13.435,14.819,18.521
