Orthogroups,HCH_1_F,HCH_2_F,HCH_3_F,HCH_4_F,HCH_5_F,HCH_6_F,HCH_1_M,HCH_2_M,HCH_3_M,HCH_4_M,HCH_5_M,HCH_6_M,HDO_1_F,HDO_2_F,HDO_3_F,HDO_4_F,HDO_5_F,HDO_6_F,HDO_1_M,HDO_2_M,HDO_3_M,HDO_4_M,HDO_5_M,HDO_6_M,HER_1_F,HER_2_F,HER_3_F,HER_1_M,HER_2_M,HER_3_M,HME_1_F,HME_2_F,HME_3_F,HME_4_F,HME_1_M,HME_2_M,HME_3_M,HME_4_M,HSA_1_F,HSA_2_F,HSA_3_F,HSA_4_F,HSA_5_F,HSA_1_M,HSA_2_M,HSA_3_M,HSA_4_M,HSA_5_M,HSA_6_M
Group_885_clean_0,3.442,5.151,5.253,3.464,4.138,5.051,5.744,2.533,4.144,4.695,5.564,3.396,0.749,0.5,0.522,7.442,0.635,0.573,12.168,0.61,1.216,0.755,0.889,1.133,18.037,17.839,22.058,8.922,15.727,18.262,16.616,23.113,21.052,8.454,13.852,26.229,7.821,19.688,1.652,2.847,2.878,3.253,8.651,3.047,3.799,1.171,3.054,0.95,2.048
Group_350_clean_0,64.336,84.754,61.058,60.419,54.8,68.947,52.8,68.599,85.116,73.868,109.818,60.639,142.039,134.479,104.59,65.284,87.297,83.01,45.603,177.177,117.967,140.422,115.615,93.849,179.938,242.332,239.353,134.015,115.265,116.001,76.2,34.027,160.369,176.531,129.664,39.117,143.612,109.645,89.588,189.286,115.218,90.291,36.836,88.401,44.787,108.78,67.941,102.879,73.64
Group_350_clean_1,39.088,26.169,27.163,29.332,29.338,24.279,33.052,31.645,34.757,29.237,23.221,11.967,20.511,20.556,18.692,32.254,19.632,15.517,35.157,29.262,28.936,20.121,32.994,31.358,29.714,33.176,51.68,19.475,27.401,33.974,7.809,8.98,17.04,11.933,9.839,13.989,15.814,8.182,14.032,27.47,23.507,25.956,14.454,8.881,8.326,21.015,14.663,31.389,33.743
Group_1542_clean_0,29.402,30.926,31.494,32.162,39.288,27.292,36.592,34.962,31.863,31.988,32.575,28.833,8.793,6.927,8.775,9.436,9.59,8.544,9.356,9.774,8.831,8.313,7.222,8.988,31.153,34.652,33.156,31.758,30.315,30.211,77.986,78.238,67.505,53.399,67.167,68.49,72.586,79.848,1.005,1.184,0.351,1.411,1.142,0.0001,2.586,0.991,0.557,1.196,0.0001
Group_1943_clean_0,13.924,12.026,11.21,14.2,13.796,13.795,13.263,12.919,11.721,10.94,14.918,13.523,5.613,6.702,8.786,5.776,9.07,7.932,5.94,5.101,7.098,8.964,8.033,6.534,37.931,30.753,36.987,38.15,36.476,35.884,28.531,22.942,25.248,24.469,30.173,29.929,25.631,24.048,13.045,12.436,12.455,13.974,15.135,11.628,12.447,10.062,10.969,10.228,17.654
Group_1411_clean_1,5.804,4.37,5.932,4.337,2.624,6,5.18,5.521,4.997,4.31,3.095,4.776,5.479,5.849,7.453,6.4,6.894,7.171,6.406,6.482,6.207,5.418,7.418,7.736,21.844,18.019,15.431,7.392,7.519,14.403,6.477,5.102,6.218,11.438,6.114,10.785,7.487,10.245,5.324,5.101,7.401,6.366,7.897,5.079,5.646,6.067,6.346,5.552,5.851
Group_321_clean_0,35.598,35.511,36.225,38.216,39.944,40.343,38.472,43.981,39.551,36.432,39.383,37.271,24.267,21.967,24.183,26.672,25.033,22.777,24.732,24.741,23.477,24.939,24.335,22.43,36.441,40.545,40.631,30.768,25.762,35.875,6.124,6.555,2.869,5.131,4.919,4.953,3.779,3.734,1.185,1.683,1.745,2.753,1.016,0.532,1.733,1.692,3.168,1.132,0.636
Group_321_clean_1,120.279,110.815,104.174,101.092,130.48,110.9,137.085,138.523,115.567,108.401,94.186,82.91,40.171,36.028,42.64,37.733,36.009,35.845,39.939,40.733,36.11,36.974,39.073,38.316,46.791,64.756,62.128,25.657,28.717,46.821,9.473,11.215,17.407,19.562,16.351,14.646,12.207,9.756,31.485,34.296,40.034,41.502,44.398,45.158,36.413,34.661,33.32,38.126,35.579
Group_547_clean_0,3.395,2.028,1.759,4.788,3.038,4.856,2.642,2.374,4.977,4.408,1.948,2.264,10.876,8.867,20.846,12.38,11.852,9.986,12.514,11.878,10.814,11.136,8.209,11.185,26.182,35.788,74.752,31.408,20.227,19.915,11.663,16.928,4.451,13.721,7.18,33.376,5.957,12.308,5.943,4.914,11.623,8.378,5.708,6.095,4.935,9.101,7.698,5.787,3.813
Group_231_clean_1,21.046,26.501,25.209,25.925,31.719,21.144,20.729,20.083,20.08,22.768,30.241,28.329,15.73,12.963,14.117,13.791,12.391,11.053,13.96,13.96,11.724,13.545,11.698,11.964,16.996,15.546,13.501,31.998,27.903,18.348,44.33,30.74,23.604,15.694,46.245,26.886,51.757,27.128,9.4,11.054,10.791,10.831,7.793,10.874,7.853,10.703,8.513,7.73,14.294
Group_1395_clean_0,37.236,35.673,35.776,36.115,32.375,42.669,38.159,42.274,35.844,33.466,37.233,39.332,37.246,29.904,33.417,36.241,30.492,27.914,29.88,34.19,29.77,33.014,35.105,33.97,28.254,40.465,54.132,41.901,37.196,42.599,51.826,53.071,82.451,73.845,34.654,45.889,56.732,77.219,33.639,35.345,33.275,34.455,38.219,36.442,34.679,26.632,28.409,26.755,32.503
Group_911_clean_0,29.818,32.954,34.563,31.471,39.672,28.297,32.237,33.362,31.009,31.056,29.586,30.912,47.517,42.328,41.329,43.877,47.62,37.643,40.306,48.038,36.905,37.822,41.096,40.681,56.917,66.112,52.034,75.6,80.825,70.155,26.332,25.839,16.835,20.66,26.698,25.067,26.573,25.075,16.815,16.8,20.458,14.845,15.365,17.684,12.93,22.557,17.223,15.449,38.939
Group_408_clean_0,1.329,0.718,0.0001,7.052,1.675,0.753,0.261,0.212,1.513,2.294,1.186,4.413,4.002,3.635,2.836,3.997,3.052,2.598,3.129,3.14,3.467,5.614,3.694,4.06,24.733,34.951,32.516,20.085,29.385,31.51,1.312,0.0001,1.644,0.593,1.354,4.356,1.52,0.225,8.224,2.639,6.87,2.613,4.462,11.28,2.188,13.997,10.082,10.986,1.533
Group_606_clean_2,14.422,13.103,16.135,14.949,17.156,15.228,15.518,13.968,14.382,14.641,16.22,14.373,15.617,13.894,13.467,17.849,13.017,13.196,17,14.946,14.482,14.496,13.272,12.516,27.152,25.697,23.585,45.152,40.883,28.005,54.035,48.811,60.246,71.814,43.945,56.148,47.411,53.737,8.987,9.434,9.758,9.72,9.709,9.065,9.994,8.44,8.833,8.862,10.501
Group_606_clean_0,14.102,15.095,13.709,9.662,15.007,10.66,14.735,14.53,17.399,15.412,15.159,11.401,29.151,21.301,30.858,15.846,18.977,17.987,19.197,25.503,20.057,25.446,20.543,20.735,23.283,22.765,21.093,27.957,28.738,25.846,16.313,19.234,14.385,12.973,19.368,17.395,23.169,20.676,12.012,14.899,15.574,13.854,16.831,13.215,16.823,16.009,16.191,11.595,20.559
Group_606_clean_1,6.184,6.829,8.031,7.34,10.264,6.446,6.704,8.446,6.876,6.684,8.216,9.075,9.163,7.917,9.33,10.571,9.243,7.793,10.534,7.285,7.73,9.626,7.32,7.303,26.264,21.678,20.433,28.618,28.738,20.02,9.705,8.048,7.514,5.374,16.65,12.412,10.262,9.394,7.55,7.927,8.615,8.829,8.767,6.017,5.011,7.088,6.893,11.05,8.716
Group_2401_clean_0,25.663,25.523,24.142,36.556,39.369,31.692,34.9,35.121,28.602,28.377,30.357,44.02,31.131,30.737,33.022,28.083,28.749,27.815,26.217,32.178,25.957,30.243,31.401,24.578,25.488,33.415,24.569,39.79,50.302,35.521,28.793,25.398,21.532,22.982,28.699,23.248,25.408,29.679,31.458,33.298,35.441,37.367,32.312,36.326,37.284,34.431,34.218,38.051,46.515
Group_2428_clean_0,2.991,6.156,3.627,4.749,3.764,3.014,5.18,3.921,4.002,4.973,5.323,5.581,1.744,1.636,1.397,1.636,1.155,1.975,1.772,3.129,0.996,1.396,0.655,1.567,9.503,7.798,7.908,6.942,3.989,12.293,20.278,2.826,6.616,9.757,13.742,8.824,17.222,11.653,9.732,23.459,25.402,22.132,10.484,14.617,7.341,5.156,28.419,16.186,13.588
Group_1555_clean_1,10.505,11.927,18.197,12.521,11.172,12.456,10.328,13.046,17.734,23.503,11.36,15.726,59.05,61.16,51.97,60.49,62.727,65.369,69.741,58.92,65.918,61.159,62.049,64.185,9.268,10.7,10.734,20.805,10.61,41.778,3.773,6.725,3.757,4.519,2.619,4.751,2.208,4.575,13.009,14.576,14.782,13.504,26.059,21.399,28.067,13.937,18.244,16.324,10.743
Group_602_clean_0,63.588,72.252,89.07,52.676,88.094,64.985,80.724,74.513,60.871,86.359,51.582,80.23,86.652,79.423,71.739,88.582,76.601,73.31,110.116,86.17,85.889,79.398,82.23,77.48,158.615,90.184,113.62,136.296,174.642,94.673,82.95,88.11,91.752,91.045,102.229,94.224,105.267,129.001,46.406,58.566,77.32,73.123,51.835,58.508,66.327,90.248,94.76,42.172,93.211
Group_1899_clean_0,17.971,20.246,23.232,20.581,23.716,20.679,19.424,19.775,19.837,18.754,21.958,22.041,23.825,21.811,21.432,28.195,24.378,20.841,25.564,23.735,22.71,21.62,22.37,20.429,69.84,56.699,66.264,88.913,82.569,68.703,48.648,42.296,39.888,45.741,39.972,34.69,50.339,41.928,18.808,20.519,19.516,19.279,23.252,19.909,20.679,17.961,20.814,18.449,23.696
Group_278_clean_0,3.905,6.183,3.749,5.738,6.388,4.325,3.791,5.32,5.739,5.6,7.31,6.784,4.669,4.977,5.011,6.113,4.718,4.395,5.01,5.243,4.464,7.382,4.642,5.065,13.739,15.616,12.073,14.754,14.609,12.694,6.104,6.535,6.024,6.627,6.871,3.962,9.006,8.339,7.326,8.977,7.01,5.906,6.096,7.168,6.404,5.246,4.767,8.648,6.92
Group_1116_clean_0,6.327,5.564,6.308,7.225,8.255,6.195,6.61,6.92,6.023,5.815,7.261,6.855,6.485,5.115,4.617,7.054,5.95,5.156,5.228,5.883,4.77,5.749,5.864,4.977,9.422,8.695,9.532,13.754,14.557,10.411,7.324,6.334,6.085,5.442,6.523,6.823,6.939,7.381,9.175,10.119,8.344,7.988,13.145,8.049,9.368,10.092,11.072,10.698,9.674
Group_1090_clean_0,0.0001,1.014,2.633,0.0001,0.0001,1.07,0.0001,1.812,0.955,3.88,3.404,0.796,10.548,5.947,7.293,7.677,6.605,6.075,8.277,9.155,6.877,6.235,6.02,6.248,8.156,11.926,11.64,10.143,11.894,12.579,10.613,16.026,21.46,14.606,16.491,17.072,15.784,15.602,8.52,9.091,11.352,12.893,15.396,9.626,8.194,9.511,11.485,5.819,8.262
Group_1706_clean_1,2.315,2.001,3.13,2.389,3.754,1.553,3.018,4.398,1.473,1.111,1.032,2.653,21.599,25.446,15.024,18.361,10.649,11.3,19.841,26.275,27.011,28.754,25.889,25.85,122.756,123.958,137.707,172.916,170.172,137.883,7.163,3.488,3.4,1.827,8.215,3.629,3.363,1.486,79.794,95.074,100.296,86.927,89.541,90.307,67.17,89.036,76.392,81.131,87.461
Group_1706_clean_0,95.376,104.605,110.737,127.823,124.869,99.105,98.937,97.976,99.082,118.911,115.121,117.103,21.599,25.446,15.024,18.361,10.649,11.3,19.841,26.275,27.011,28.754,25.889,25.85,122.756,123.958,137.707,172.916,170.172,137.883,7.163,3.488,3.4,1.827,8.215,3.629,3.363,1.486,79.794,95.074,100.296,86.927,89.541,90.307,67.17,89.036,76.392,81.131,87.461
Group_2511_clean_0,16.238,9.791,3.009,5.344,4.279,12.995,14.307,13.459,8.898,12.302,7.57,3.9,10.805,10.68,12.742,15.202,15.299,15.764,14.841,11.573,13.486,11.787,9.89,12.802,1.388,5.425,5.091,0.0001,0.355,4.871,7.99,3.698,4.227,6.88,2.519,5.377,4.042,4.36,7.658,3.99,5.305,3.684,7.374,5.214,7.72,7.749,11.32,7.228,5.7
Group_2329_clean_1,4.819,1.176,0.0001,2.092,0.464,4.037,2.13,8.118,1.666,0.0001,1.176,1.822,21.219,20.135,24.204,17.686,23.281,22.402,19.455,22.759,24.597,22.272,23.445,23.869,34.695,36.905,47.544,16.664,27.662,30.259,23.688,23.052,27.208,32.243,25.025,18.75,24.243,25.749,1.445,0.0001,0.291,0.29,0.618,0.0001,0.0001,0.33,0.299,0.0001,0.0001
Group_2329_clean_0,19.55,17.285,20.284,15.966,12.777,19.023,19.257,17.709,18.313,18.431,16.799,17.265,21.219,20.135,24.204,17.686,23.281,22.402,19.455,22.759,24.597,22.272,23.445,23.869,34.695,36.905,47.544,16.664,27.662,30.259,23.688,23.052,27.208,32.243,25.025,18.75,24.243,25.749,1.445,0.0001,0.291,0.29,0.618,0.0001,0.0001,0.33,0.299,0.0001,0.0001
Group_1128_clean_1,57.19,45.078,31.433,43.129,34.273,43.153,35.088,43.398,51.334,29.56,34.407,40.004,140.582,101.969,116.117,144.339,119.734,129.947,132.442,117.749,109.318,83.41,128.173,138.137,168.404,154.94,216.034,89.464,99.319,139.965,74.203,61.59,113.508,99.256,65.106,51.873,94.792,63.699,44.341,41.496,67.171,71.742,60.947,51.959,35.551,70.975,54.578,84.313,95.016
Group_1128_clean_0,70.116,54.214,63.4,59.805,68.202,47.199,109.536,76.187,46.448,34.99,64.764,47.416,69.444,74.72,49.411,162.372,66,82.901,93.661,91.078,88.6,55.813,108.656,117.402,50.691,138.966,94.486,124.243,95.476,85.991,96.882,105.62,53.569,144.453,134.135,130.349,79.303,88.578,39.188,48.488,36.063,51.572,68.143,16.63,75.658,27.933,50.863,17.776,58.065
Group_1617_clean_0,67.802,69.111,67.549,70.935,71.724,64.454,72.359,77.703,66.904,72.479,61.91,63.274,22.143,11.493,15.461,13.157,17.215,11.132,12.812,17.252,11.714,10.588,13.125,16.438,2.95,3.789,1.654,1.72,3.926,3.725,349.867,375.934,360.556,538.232,375.439,259.282,367.479,353.227,1.436,0.0001,0.201,0.2,1.309,0.213,1.392,0.681,1.28,0.0001,0.777
Group_2171_clean_1,0.439,0.296,0.764,1.065,0.464,2.502,0.856,0.54,0.416,1.891,2.353,0.451,17.997,15.109,23.81,22.797,21.22,18.688,20.653,16.165,17.04,21.734,22.146,15.196,7.176,6.711,6.775,2.371,1.19,2.942,6.911,13.28,4.972,6.287,9.251,13.241,5.815,6.452,4.336,4.675,4.393,3.664,5.677,2.535,6.555,5.787,4.623,4.687,3.833
Group_483_clean_1,12.82,10.159,12.265,8.386,12.262,16.065,11.727,15.324,30.197,19.901,10.27,23.995,6.197,7.652,6.579,9.252,6.846,5.373,11.623,6.025,8.592,5.863,7.848,4.79,11.341,12.285,19.025,8.182,10.516,13.668,36.118,12.599,5.911,15.869,14.33,16.445,12.542,11.105,14.472,19.73,9.698,11.241,10.149,9.606,9.994,13.056,12.476,11.403,8.383
Group_200_clean_1,30.672,33.672,25.937,21.521,21.607,33.934,33.083,28.37,30.461,29.183,36.5,20.767,4.258,4.007,3.679,5.899,3.976,3.763,10.317,3.942,3.937,6.338,5.903,4.652,157.002,168.901,170.568,123.232,185.189,196.643,4.419,1.042,1.195,2.118,3.943,2.052,5.248,5.445,15.478,11.158,9.086,17.758,23.922,28.954,23.341,16.029,13.353,14.531,6.648
Group_1658_clean_0,36.572,38.59,39.779,34.484,48.301,34.985,38.159,39.466,38.089,39.506,34.533,36.042,37.626,27.758,29.653,33.46,29.905,26.728,29.068,36.486,28.668,31.763,29.612,27.18,39.054,38.541,31.443,51.003,46.992,50.46,36.249,24.977,20.378,20.145,36.118,28.322,39.327,21.477,33.217,39.002,45.319,37.047,26.279,34.565,27.272,35.222,27.8,35.948,48.189
Group_576_clean_0,13.567,15.615,14.521,11.811,12.534,19.832,18.526,12.569,17.612,18.709,11.273,17.742,10.004,9.2,8.53,8.843,9.532,8.593,7.129,9.043,8.448,8.189,9.49,8.367,51.058,55.871,56.259,58.175,55.544,58.168,0.0001,0.0001,0.929,0.0001,0.0001,0.0001,0.0001,0.0001,7.99,8.343,11.262,8.038,9.123,11.319,9.368,14.748,12.238,7.719,9.24
Group_576_clean_1,10.612,8.185,8.832,8.357,7.862,8.614,10.119,9.072,9.629,9.005,8.853,8.703,7.285,7.545,7.869,8.27,8.723,8.05,6.346,8.799,6.992,7.682,8.776,8.18,27.938,27.542,31.226,22.336,19.361,26.209,7.335,7.327,8.433,12.157,7.797,7.793,7.527,9.717,9.669,8.727,11.733,9.5,9.29,10.806,7.578,9.481,8.823,9.662,8.332
Group_576_clean_2,35.337,35.404,35.909,32.661,45.031,35.134,37.574,37.23,35.174,34.327,42.257,40.172,46.153,37.772,34.867,37.999,35.739,32.645,36.86,44.269,35.258,32.725,34.46,33.497,62.184,50.397,43.477,98.246,74.748,56.487,82.324,75.782,94.468,71.503,85.102,75.798,76.294,82.204,33.774,32.249,36.303,36.887,38.334,37.167,33.069,41.319,36.024,28.175,45.808
Group_576_clean_3,26.648,23.073,24.906,18.297,16.228,24.52,23.173,22.372,25.311,29.434,21.138,20.077,40.704,35.9,41.595,37.968,38.3,35.233,37.553,39.057,36.331,33.728,40.929,40.711,41.657,40.226,38.779,30.878,31.369,36.075,18.331,20.968,23.339,28.142,14.579,18.548,19.795,20.989,303.571,398.583,306.332,387.539,386.012,322.792,537.193,396.884,346.939,464.195,285.775
Group_1411_clean_0,10.22,12.663,12.641,9.365,8.306,10.53,8.229,9.559,9.405,11.989,9.933,9.941,8.681,9.298,11.42,9.415,11.583,9.956,8.505,9.287,7.883,10.784,8.698,9.914,14.883,18.099,16.711,17.925,11.33,12.398,8.717,10.594,12.884,14.12,11.213,10.35,9.756,13.129,57.879,78.108,64.022,57.107,59.407,71.471,64.404,59.551,70.779,69.302,58.075
Group_655_clean_0,159.854,170.745,147.714,166.308,193.899,163.55,174.46,169.924,171.095,172.691,196,176.3,162.807,146.736,166.551,142.498,121.092,120.702,132.957,156.389,111.128,177.097,118.429,124.793,202.528,183.18,158.682,310.912,268.123,210.273,265.979,189.48,165.638,148.214,204.907,178.785,432.193,216.953,144.603,163.105,146.427,145.786,135.94,148.147,123.675,156.487,128.421,151.97,164.521
Group_1943_clean_1,1.852,1.956,0.886,1.631,1.463,2.605,2.026,3.381,2.428,2.428,3.443,2.025,28.463,25.23,30.389,26.907,27.247,31.983,27.227,28.52,28.026,30.771,30.16,28.865,24.763,29.357,32.969,18.925,17.282,27.451,39.8,40.723,52.017,56.46,42.65,49.487,32.155,43.14,11.815,12.592,17.41,18.539,14.988,16.533,17.136,19.123,16.851,17.851,13.75
Group_2168_clean_0,15.253,9.728,7.752,5.296,6.156,7.181,8.73,10.418,7.77,5.672,2.69,2.804,49.847,32.677,32.638,55.02,35.489,28.743,61.642,63.635,35.133,36.096,34.391,30.55,20.68,21.878,33.038,27.487,36.539,35.818,38.246,39.951,17.387,8.338,46.106,46.051,33.877,13.002,9.292,4.53,6.709,7.437,6.986,8.823,8.421,19.113,8.936,7.121,30.404
Group_30_clean_2,10.113,11.783,9.062,9.221,8.871,10.009,10.119,10.078,11.965,10.528,12.498,9.703,8.065,8.113,8.498,6.901,7.394,8.416,9.713,9.591,10.718,8.52,9.157,10.427,10.044,6.96,12.112,6.492,9.68,7.746,5.882,11.737,10.322,13.294,6.124,10.846,9.563,12.132,5.907,4.748,5.867,5.025,5.404,6.356,7.891,6.117,5.448,5.904,6.799
Group_195_clean_1,7.098,12.097,14.194,13.423,25.624,7.274,8.438,10.767,13.092,9.605,27.724,30.496,18.88,16.265,44.527,10.325,14.095,15.675,7.713,21.469,10.402,30.316,11.552,12.604,21.334,21.888,14.86,18.335,10.819,7.708,8.222,3.448,2.124,4.635,15.236,3.972,14.315,5.973,10.495,8.717,11.533,9.099,4.043,7.497,3.24,10.843,4.107,23.456,7.838
Group_195_clean_0,19.621,20.47,46.051,40.03,28.934,23.032,27.695,26.611,18.689,15.958,23.539,38.395,59.071,32.148,154.033,52.107,40.65,36.28,54.286,61.206,51.168,132.73,33.844,30.363,40.381,71.836,49.385,42.931,48.422,62.905,81.335,65.078,49.944,135.668,80.969,74.999,59.75,146.001,18.53,15.117,27.298,38.509,21.786,17.316,29.782,30.977,25.54,25.773,23.454
Group_195_clean_2,19.538,15.579,9.632,14.757,8.326,19.376,23.162,29.144,29.851,15.465,40.029,26.384,41.546,49.52,69.243,35.044,36.798,38.235,23.217,51.076,40.986,66.339,54.23,42.347,143.834,85.637,81.054,82.252,51.858,44.681,46.792,33.205,30.138,107.176,43.188,29.525,96.829,59.593,21.313,63.272,63.541,45.676,53.825,34.73,38.232,33.53,37.51,43.785,57.601
Group_894_clean_1,27.384,25.658,34.357,30.828,31.073,22.297,29.146,28.148,31.984,29.058,37.628,40.278,35.266,28.013,44.005,22.889,22.539,19.715,25.247,33.733,23.706,40.873,23.729,20.065,32.368,16.054,24.402,45.142,36.09,29.046,52.915,12.609,22.798,15.956,27.634,17.062,59.112,27.069,23.432,25.08,23.748,25.666,18.601,24.969,33.088,25.551,21.257,28.549,21.366
Group_894_clean_0,454.315,27.067,306.553,18.604,455.293,4.967,281.835,3.296,9.568,363.427,1033.036,1674.925,51.273,97.187,45.263,58.987,59.03,60.953,100.116,81.984,43.17,187.24,81.546,41.854,63.287,224.553,219.923,37.78,34.356,182.727,80.256,41.975,0.449,1.059,42.64,87.654,15.135,105.207,62.422,42.503,1.203,1.722,21.346,432.34,53.549,648.274,356.319,234.212,5.76
Group_900_clean_1,0.926,2.477,0.0001,0.0001,1.938,0.651,0.0001,0.0001,1.452,0.699,0.0001,0.478,18.356,24.701,15.109,23.094,20.768,22.876,17.445,18.949,18.113,25.156,14.23,15.413,18.302,9.822,21.674,4.801,3.571,11.882,19.451,14.633,14.14,12.264,14.907,11.371,9.472,13.862,26.825,15.418,23.517,16.256,37.014,17.829,15.687,23.248,28.873,31.208,16.292
Group_894_clean_2,28.369,22.911,23.741,25.609,22.949,29.851,28.374,29.631,31.832,22.651,22.151,17.848,23.169,24.858,22.754,31.62,31.811,28.961,26.405,27.403,30.411,27.369,33.463,33.103,22.753,27.691,24.776,6.212,7.707,21.013,33.696,31.552,36.019,42.729,32.105,28.989,25.894,35.369,19.194,23.075,22.795,23.363,28.059,24.746,24.278,21.696,24.24,23.328,22.001
Group_313_clean_0,41.106,46.236,51.159,46.622,30.67,52.817,46.21,43.907,52.877,54.326,37.609,44.276,60.559,53.987,61.481,46.576,54.052,59.175,44.028,61.42,55.593,60.177,61.111,55.099,36.665,28.29,36.524,25.457,26.555,31.892,78.854,68.937,88.72,91.812,70.682,75.969,77.439,109.997,40.346,51.116,48.097,51.512,53.479,47.374,48.159,50.46,40.523,50.468,43.428
Group_1190_clean_0,6.92,10.15,10.967,8.184,9.265,13.758,17.273,12.124,8.227,13.225,5.487,7.2,13.267,12.414,16.815,13.934,12.671,11.379,13.049,16.094,20.996,13.586,15.402,14.891,10.391,18.288,29.375,5.702,5.117,14.728,9.574,5.763,6.371,10.456,10.008,8.531,6.109,8.925,18.386,16.447,23.738,27.798,17.502,21.786,20.357,22.397,23.27,21.257,9.936
Group_1357_clean_0,21.152,33.169,32.743,20.907,19.094,25.674,28.374,27.289,14.443,27.49,23.992,35.582,18.849,16.363,24.343,21.571,17.042,20.081,17.108,21.032,24.492,19.49,23.455,24.214,41.065,45.65,80.473,36.23,36.476,44.92,42.494,58.804,28.045,44.215,46.962,33.739,57.562,35.095,16.178,14.202,17.791,18.809,14.056,16.378,12.087,12.765,13.116,14.552,13.346
Group_558_clean_0,38.803,51.486,26.726,40.615,31.195,40.687,30.901,28.137,50.775,26.979,45.969,61.815,25.816,44.464,22.168,28.788,29.895,29.612,26.474,18.533,30.181,30.657,32.368,25.721,16.996,32.298,46.559,11.313,18.17,33.583,19.612,35.16,33.334,66.877,35.55,33.851,22.399,35.525,634.883,830.921,809.104,762.124,897.155,789.523,740.779,816.305,750.602,1022.974,964.568
Group_1379_clean_0,43.195,47.501,43.043,47.648,56.97,56.371,46.847,49.619,49.363,47.722,54.301,49.981,47.702,42.994,49.784,48.12,43.095,41.426,47.187,49.42,46.522,51.75,47.771,46.959,388.672,330.871,189.81,236.542,321.642,118.656,40.617,43.128,51.823,45.43,51.274,46.991,43.774,46.601,32.984,41.194,39.101,36.156,53.249,33.453,39.065,35.342,39.099,37.368,38.374
Group_30_clean_5,10.802,14.494,14.073,16.868,17.974,12.921,14.662,16.257,13.235,13.261,12.729,13.019,13.924,13.913,17.903,14.455,13.412,11.557,17.653,16.084,12.701,15.458,14.122,12.506,22.477,23.005,32.201,27.837,26.106,25.158,17.887,18.001,18.214,12.186,16.271,20.023,18.529,17.049,15.145,18.971,16.888,17.978,14.779,14.782,15.857,16.039,12.187,13.186,17.744
Group_1923_clean_0,21.425,31.347,24.324,46.305,41.478,31.144,26.316,19.404,13.712,11.962,31.167,50.927,81.86,86.86,145.087,94.144,74.646,67.976,72.344,105.252,83.744,132.109,80.598,72.789,41.677,55.961,40.581,52.834,43.619,43.497,32.809,17.981,22.981,28.774,37.781,27.321,29.885,40.814,62.745,65.433,65.356,63.824,42.408,39.044,42.257,47.056,34.775,80.928,36.961
Group_1923_clean_1,73.725,36.57,47.083,21.675,30.851,42.967,37.699,49.788,62.11,36.62,37.146,20.334,81.86,86.86,145.087,94.144,74.646,67.976,72.344,105.252,83.744,132.109,80.598,72.789,49.874,54.814,51.985,69.158,57.633,54.127,32.809,17.981,22.981,28.774,37.781,27.321,29.885,40.814,1.831,2.577,4.182,4.605,4.703,0.668,3.884,1.031,2.869,3.865,1.523
Group_1927_clean_0,2.065,2.019,0.995,1.324,1.484,1.572,2.224,1.219,1.31,1.953,1.639,1.167,3.355,1.46,2.271,4.672,3.89,4.158,4.346,2.459,3.218,1.789,3.753,3.893,41.147,22.257,28.912,41.901,23.726,23.706,2.552,4.089,0.807,3.022,4.85,5.195,5.106,5.074,1.867,1.517,0.712,1.451,2.409,1.122,2.851,1.071,1.476,1.313,1.937
Group_551_clean_0,12.072,10.733,9.827,10.43,14.27,10.409,11.769,10.767,11.467,9.525,10.106,10.852,20.357,18.587,17.892,18.074,18.178,15.201,17.415,17.577,16.685,17.763,19.253,16.241,30.908,30.304,37.253,44.532,42.825,33.315,42.06,40.733,42.359,40.192,48.077,44.898,43.754,43.131,9.507,9.756,11.402,10.951,12.61,10.554,11.178,10.422,9.824,9.694,12.509
Group_1387_clean_0,323.827,546.922,127.333,366.006,423.452,490.073,244.783,196.631,119.071,28.314,555.829,553.408,668.896,790.313,1165.73,889.79,963.372,938.807,1163.838,625.007,689.191,1121.064,702.416,721.629,455.011,503.7,736.561,43.601,50.626,196.433,1000.015,1065.4,339.249,840.218,713.744,641.535,326.855,307.35,417.48,198.211,529.588,1075.058,611.492,209.007,398.362,813.141,613.337,461.985,758.93
Group_1387_clean_1,2.315,1.732,1.334,3.301,1.07,4.009,3.008,5.203,1.95,5.063,2.97,4.52,3.407,4.154,9.778,5.745,7.606,3.615,4.495,3.272,6.628,5.925,5.16,8.653,0.776,1.805,3.742,1.971,0.0001,1.051,2.018,2.155,0.664,1.37,0.0001,1.496,0.0001,0.0001,6.06,4.81,2.607,1.311,3.991,1.606,0.568,1.231,2.755,1.719,3.067
Group_2266_clean_0,30.518,39.308,25.537,34.177,46.837,50.966,43.537,48.464,37.825,31.701,35.42,35.732,40.366,27.111,41.883,52.526,39.042,30.837,67.236,37.085,44.281,43.065,37.626,34.985,32.491,44.394,41.182,39.55,48.015,60.193,26.14,27.222,13.058,20.154,20.773,36.044,29.693,24.518,16.923,11.127,17.971,34.194,31.851,14.646,27.527,20.795,39.925,16.431,21.981
